Function,Dim,Algorithm,Population,Iterations,Mean,Std,Best,Time
Schwefel,10,PSO,100,200,647.9163925071607,256.5838571913517,0.00012727566263492918,0.357406747341156
Schwefel,10,ABC,100,200,2142.57222270315,158.70767794874538,1854.9117738874556,0.2106969952583313
Eggholder,2,PSO,10,50,-816.8211524900162,122.12064331733468,-959.6406627178179,0.006996667385101319
Eggholder,2,ABC,10,50,-859.9437103551475,68.48177578513983,-959.3526793565563,0.01461869478225708
Eggholder,2,PSO,10,100,-869.3880642697019,76.2074843562974,-959.640662720851,0.013911008834838867
Eggholder,2,ABC,10,100,-856.8522150321253,70.00363127158623,-959.5761341548313,0.01678074598312378
Eggholder,2,PSO,10,200,-846.3799573743581,96.41796063459957,-959.640662720851,0.01583486795425415
Eggholder,2,ABC,10,200,-844.7694312987799,65.9185320973428,-959.6170772096691,0.016681361198425292
Eggholder,2,PSO,20,50,-850.2488955988416,93.04097584511051,-959.6406627208409,0.013652348518371582
Eggholder,2,ABC,20,50,-915.1298461023958,44.01840704587556,-959.6401215035723,0.028913331031799317
Eggholder,2,PSO,20,100,-911.9621203758492,66.90102727519344,-959.640662720851,0.025091052055358887
Eggholder,2,ABC,20,100,-894.4446354203158,51.01138742864121,-959.6276121413255,0.03380886316299438
Eggholder,2,PSO,20,200,-875.2062742645907,96.77858985259226,-959.640662720851,0.03491593599319458
Eggholder,2,ABC,20,200,-907.2810622134542,48.50465315956291,-959.6356760317103,0.034256505966186526
Eggholder,2,PSO,50,50,-916.6809393903568,70.3789249463224,-959.6406627203141,0.033631742000579834
Eggholder,2,ABC,50,50,-952.8523771048438,16.424229866360754,-959.6406284673451,0.07559418678283691
Eggholder,2,PSO,50,100,-936.5871399190834,31.43823147255106,-959.640662720851,0.06409538984298706
Eggholder,2,ABC,50,100,-944.7882489107636,29.981343021607113,-959.6320098929464,0.08580158948898316
Eggholder,2,PSO,50,200,-927.3799731803713,54.858439763482366,-959.640662720851,0.065966796875
Eggholder,2,ABC,50,200,-953.7889463758062,8.133530155282818,-959.6405797514553,0.08695088624954224
Eggholder,2,PSO,100,50,-937.6910878320025,43.60585098705515,-959.6406627207733,0.06950691938400269
Eggholder,2,ABC,100,50,-959.1470054537406,1.006644164411385,-959.6406356275394,0.16988615989685057
Eggholder,2,PSO,100,100,-949.881383680414,23.23168990531487,-959.640662720851,0.11249967813491821
Eggholder,2,ABC,100,100,-957.2746770070287,5.796000082533997,-959.6404377881971,0.1921902298927307
Eggholder,2,PSO,100,200,-953.1344722051299,19.518523938201337,-959.640662720851,0.12398089170455932
Eggholder,2,ABC,100,200,-958.4244870481807,2.1707551663388456,-959.6395073072325,0.18657081127166747
